# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                             | flagCoding    | flags                                       | ancilliaryBandName
# Diff_TBs_Type                                                                                                                                            *
  *       | Control_Flags_R1        | Control_Flags_R1        | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Control flags for 1st mapped retrieval configuration                                                   | TODO          | TODO                                        | *
  *       | Param1_prior_R2         | Param1_prior_R2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | psu       | Param1_prior_R2                                                                                        | *             | *                                           | Param1_sigma_prior_R2
  *       | Param1_sigma_prior_R2   | Param1_sigma_prior_R2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | psu       | Param1_sigma_prior_R2                                                                                  | *             | *                                           | *
  *       | Param2_prior_R2         | Param2_prior_R2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | K         | Param2_prior_R2                                                                                        | *             | *                                           | Param2_sigma_prior_R2
  *       | Param2_sigma_prior_R2   | Param2_sigma_prior_R2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | K         | Param2_sigma_prior_R2                                                                                  | *             | *                                           | *
  *       | Param3_prior_R2         | Param3_prior_R2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param3_prior_R2                                                                                        | *             | *                                           | Param3_sigma_prior_R2
  *       | Param3_sigma_prior_R2   | Param3_sigma_prior_R2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param3_sigma_prior_R2                                                                                  | *             | *                                           | *
  *       | Param4_prior_R2         | Param4_prior_R2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | tecu      | Param4_prior_R2                                                                                        | *             | *                                           | Param4_sigma_prior_R2
  *       | Param4_sigma_prior_R2   | Param4_sigma_prior_R2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | tecu      | Param4_sigma_prior_R2                                                                                  | *             | *                                           | *
  *       | Param5_prior_R2         | Param5_prior_R2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_R2                                                                                        | *             | *                                           | Param5_sigma_prior_R2
  *       | Param5_sigma_prior_R2   | Param5_sigma_prior_R2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_R2                                                                                  | *             | *                                           | *
  *       | Param6_prior_R2         | Param6_prior_R2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_R2                                                                                        | *             | *                                           | *
  *       | Dg_LSC_R2               | Dg_LSC_R2               | *     | *           | *             | *             | *         | *          | *      | *         | *         | K         | Dwell-line mean of absolute value of land-sea correction for 2nd mapped retrieval                      | *             | *                                           | *
  *       | Science_Flags_R2        | Science_Flags_R2        | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Science flags for 2nd mapped retrieval configuration                                                   | TODO          | TODO                                        | *
